date,predicted_sealevelpressure
2023-09-01,1004.5983689498823
2023-10-01,1004.0586524074525
2023-11-01,1006.3355359732902
2023-12-01,1013.760442741199
2024-01-01,1021.6106407951755
2024-02-01,1025.1498440582386
2024-03-01,1026.7065995972227
2024-04-01,1027.8302990683405
2024-05-01,1023.6276624529017
2024-06-01,1019.0875546804426
2024-07-01,1015.747775165845
2024-08-01,1007.9712836984968
