date,precip
2013-01-31,0.07419354838709677
2013-02-28,0.1357142857142857
2013-03-31,0.31935483870967735
2013-04-30,0.2033333333333333
2013-05-31,0.7903225806451613
2013-06-30,2.98
2013-07-31,7.5
2013-08-31,3.8677419354838714
2013-09-30,3.063333333333333
2013-10-31,0.7903225806451613
2013-11-30,0.006666666666666667
2013-12-31,0.0
2014-01-31,0.0
2014-02-28,0.17500000000000002
2014-03-31,0.02903225806451613
2014-04-30,0.6233333333333333
2014-05-31,1.0903225806451613
2014-06-30,3.11
2014-07-31,3.832258064516129
2014-08-31,1.6806451612903226
2014-09-30,4.216666666666667
2014-10-31,0.36774193548387096
2014-11-30,0.0
2014-12-31,0.0
2015-01-31,0.012903225806451613
2015-02-28,0.39285714285714285
2015-03-31,0.24838709677419354
2015-04-30,1.1533333333333333
2015-05-31,1.106451612903226
2015-06-30,1.3900000000000001
2015-07-31,3.464516129032258
2015-08-31,2.670967741935484
2015-09-30,2.933333333333333
2015-10-31,0.5612903225806452
2015-11-30,0.9466666666666668
2015-12-31,0.054838709677419356
2016-01-31,0.0032258064516129032
2016-02-29,0.303448275862069
2016-03-31,0.0
2016-04-30,0.19
2016-05-31,0.7935483870967742
2016-06-30,2.3733333333333335
2016-07-31,11.13225806451613
2016-08-31,2.4225806451612906
2016-09-30,1.9366666666666665
2016-10-31,2.2806451612903227
2016-11-30,0.3
2016-12-31,0.0
2017-01-31,0.0064516129032258064
2017-02-28,0.21428571428571427
2017-03-31,0.31612903225806455
2017-04-30,0.0
2017-05-31,1.0
2017-06-30,4.01
2017-07-31,3.0806451612903225
2017-08-31,7.548387096774194
2017-09-30,0.10666666666666667
2017-10-31,2.3903225806451616
2017-11-30,0.0
2017-12-31,0.0
2018-01-31,0.0
2018-02-28,0.0
2018-03-31,0.11935483870967742
2018-04-30,1.5799999999999998
2018-05-31,0.2709677419354839
2018-06-30,1.1400000000000001
2018-07-31,9.961290322580645
2018-08-31,3.4935483870967743
2018-09-30,0.86
2018-10-31,0.14193548387096774
2018-11-30,0.02333333333333333
2018-12-31,0.0064516129032258064
