date,windspeed
2013-01-31,16.903225806451612
2013-02-28,20.510714285714283
2013-03-31,22.816129032258065
2013-04-30,27.846666666666668
2013-05-31,21.948387096774194
2013-06-30,16.513333333333335
2013-07-31,17.767741935483873
2013-08-31,18.458064516129035
2013-09-30,15.84
2013-10-31,18.01290322580645
2013-11-30,25.926666666666666
2013-12-31,23.46451612903226
2014-01-31,20.896774193548385
2014-02-28,16.85
2014-03-31,20.980645161290322
2014-04-30,20.41
2014-05-31,30.548387096774192
2014-06-30,19.256666666666668
2014-07-31,19.429032258064517
2014-08-31,16.91290322580645
2014-09-30,14.853333333333333
2014-10-31,15.32258064516129
2014-11-30,19.94333333333333
2014-12-31,26.951612903225808
2015-01-31,20.85483870967742
2015-02-28,21.803571428571427
2015-03-31,22.70967741935484
2015-04-30,24.85666666666667
2015-05-31,26.61935483870968
2015-06-30,21.67
2015-07-31,16.46451612903226
2015-08-31,16.738709677419354
2015-09-30,17.486666666666668
2015-10-31,21.029032258064515
2015-11-30,15.056666666666667
2015-12-31,17.538709677419355
2016-01-31,22.822580645161292
2016-02-29,27.451724137931034
2016-03-31,20.516129032258064
2016-04-30,26.346666666666668
2016-05-31,25.029032258064515
2016-06-30,19.166666666666668
2016-07-31,17.748387096774195
2016-08-31,17.135483870967743
2016-09-30,17.466666666666665
2016-10-31,17.325806451612905
2016-11-30,18.84
2016-12-31,17.1
2017-01-31,22.94516129032258
2017-02-28,25.085714285714285
2017-03-31,21.38064516129032
2017-04-30,24.486666666666668
2017-05-31,23.874193548387098
2017-06-30,19.823333333333334
2017-07-31,17.016129032258064
2017-08-31,20.151612903225807
2017-09-30,17.25
2017-10-31,14.870967741935484
2017-11-30,23.88
2017-12-31,24.574193548387097
2018-01-31,24.690322580645162
2018-02-28,24.32857142857143
2018-03-31,17.561290322580643
2018-04-30,23.970000000000002
2018-05-31,21.16774193548387
2018-06-30,20.433333333333334
2018-07-31,15.867741935483872
2018-08-31,15.112903225806452
2018-09-30,23.113333333333333
2018-10-31,21.261290322580646
2018-11-30,16.516666666666666
2018-12-31,23.92258064516129
