date,temperature
2013-01-31,-5.17741935483871
2013-02-28,-1.657142857142857
2013-03-31,5.609677419354839
2013-04-30,12.336666666666668
2013-05-31,21.6
2013-06-30,23.733333333333334
2013-07-31,27.18064516129032
2013-08-31,26.770967741935483
2013-09-30,20.243333333333332
2013-10-31,12.938709677419356
2013-11-30,5.98
2013-12-31,-0.19677419354838724
2014-01-31,-0.8064516129032258
2014-02-28,-0.6392857142857143
2014-03-31,9.638709677419355
2014-04-30,16.88
2014-05-31,21.683870967741935
2014-06-30,24.873333333333335
2014-07-31,28.041935483870965
2014-08-31,25.864516129032257
2014-09-30,20.566666666666666
2014-10-31,13.45483870967742
2014-11-30,5.796666666666667
2014-12-31,-1.2806451612903227
2015-01-31,-1.164516129032258
2015-02-28,1.0071428571428571
2015-03-31,8.319354838709677
2015-04-30,15.533333333333333
2015-05-31,21.48709677419355
2015-06-30,24.69333333333333
2015-07-31,26.57741935483871
2015-08-31,25.96451612903226
2015-09-30,20.5
2015-10-31,13.974193548387097
2015-11-30,2.99
2015-12-31,-0.49677419354838703
2016-01-31,-4.877419354838709
2016-02-29,0.8793103448275862
2016-03-31,8.64516129032258
2016-04-30,16.193333333333335
2016-05-31,21.151612903225807
2016-06-30,25.16
2016-07-31,27.296774193548387
2016-08-31,27.14516129032258
2016-09-30,21.576666666666664
2016-10-31,12.858064516129033
2016-11-30,3.7133333333333334
2016-12-31,-0.5645161290322581
2017-01-31,-2.1258064516129034
2017-02-28,1.9107142857142858
2017-03-31,8.535483870967743
2017-04-30,17.04
2017-05-31,23.061290322580643
2017-06-30,25.326666666666664
2017-07-31,27.299999999999997
2017-08-31,25.748387096774195
2017-09-30,21.853333333333335
2017-10-31,12.47741935483871
2017-11-30,3.4
2017-12-31,-1.1870967741935483
2018-01-31,-3.7096774193548385
2018-02-28,-1.3964285714285716
2018-03-31,7.82258064516129
2018-04-30,15.373333333333333
2018-05-31,21.91290322580645
2018-06-30,26.64
2018-07-31,27.748387096774195
2018-08-31,27.483870967741936
2018-09-30,20.553333333333335
2018-10-31,12.406451612903227
2018-11-30,5.036666666666666
2018-12-31,-3.0064516129032257
