date,temperature
2013-09-07,22.2
2013-09-08,21.5
2013-09-09,21.2
2013-09-10,23.0
2013-09-11,21.8
2013-09-12,22.3
2013-09-13,19.9
2013-09-14,23.3
2013-09-15,20.8
2013-09-16,20.6
2013-09-17,20.1
2013-09-18,21.5
2013-09-19,21.7
2013-09-20,22.1
2013-09-21,22.8
2013-09-22,20.3
2013-09-23,16.3
2013-09-24,14.7
2013-09-25,16.6
2013-09-26,15.8
2013-09-27,16.3
2013-09-28,16.0
2013-09-29,17.3
2013-09-30,19.0
2013-10-01,18.1
2013-10-02,16.5
2013-10-03,15.0
2013-10-04,16.3
2013-10-05,17.1
2013-10-06,16.2
2013-10-07,18.4
2013-10-08,17.0
2013-10-09,14.9
2013-10-10,17.0
2013-10-11,14.9
2013-10-12,15.6
2013-10-13,15.1
2013-10-14,12.3
2013-10-15,9.5
2013-10-16,10.9
2013-10-17,10.6
2013-10-18,11.1
2013-10-19,14.2
2013-10-20,12.5
2013-10-21,10.9
2013-10-22,10.9
2013-10-23,10.0
2013-10-24,10.5
2013-10-25,11.7
2013-10-26,9.5
2013-10-27,8.5
2013-10-28,10.3
2013-10-29,10.0
2013-10-30,7.7
2013-10-31,7.9
2013-11-01,8.1
2013-11-02,8.4
2013-11-03,12.7
2013-11-04,9.7
2013-11-05,8.8
2013-11-06,9.8
2013-11-07,8.7
2013-11-08,6.6
2013-11-09,9.9
2013-11-10,5.0
2013-11-11,5.8
2013-11-12,6.9
2013-11-13,5.2
2013-11-14,8.7
2013-11-15,6.8
2013-11-16,8.3
2013-11-17,4.8
2013-11-18,4.7
2013-11-19,2.6
2013-11-20,3.4
2013-11-21,4.1
2013-11-22,4.5
2013-11-23,5.8
2013-11-24,6.6
2013-11-25,4.5
2013-11-26,1.1
2013-11-27,-2.2
2013-11-28,1.3
2013-11-29,4.7
2013-11-30,4.1
2013-12-01,2.9
2013-12-02,2.3
2013-12-03,6.5
2013-12-04,4.6
2013-12-05,5.1
2013-12-06,1.7
2013-12-07,0.4
2013-12-08,5.1
2013-12-09,2.2
2013-12-10,0.2
2013-12-11,1.4
2013-12-12,-2.7
2013-12-13,-3.6
2013-12-14,-2.6
2013-12-15,-0.9
2013-12-16,-2.7
2013-12-17,-0.9
2013-12-18,-4.7
2013-12-19,-5.2
2013-12-20,-3.6
2013-12-21,-2.5
2013-12-22,-4.5
2013-12-23,-2.5
2013-12-24,-4.2
2013-12-25,-2.1
2013-12-26,-1.8
2013-12-27,-2.2
2013-12-28,-1.3
2013-12-29,0.8
2013-12-30,4.1
2013-12-31,4.6
2014-01-01,6.4
2014-01-02,0.5
2014-01-03,3.1
2014-01-04,-1.9
2014-01-05,-0.7
2014-01-06,-0.9
2014-01-07,0.2
2014-01-08,-3.1
2014-01-09,-4.2
2014-01-10,-4.5
2014-01-11,-3.5
2014-01-12,-1.6
2014-01-13,-5.2
2014-01-14,-3.7
2014-01-15,-2.8
2014-01-16,-0.9
2014-01-17,0.3
2014-01-18,0.2
2014-01-19,0.1
2014-01-20,0.0
2014-01-21,-1.2
2014-01-22,-2.9
2014-01-23,-2.9
2014-01-24,2.6
2014-01-25,1.9
2014-01-26,-1.0
2014-01-27,0.7
2014-01-28,0.1
2014-01-29,-2.4
2014-01-30,2.1
2014-01-31,0.2
2014-02-01,2.6
2014-02-02,4.4
2014-02-03,-1.1
2014-02-04,-2.8
2014-02-05,-3.7
2014-02-06,-2.3
2014-02-07,-3.4
2014-02-08,-2.9
2014-02-09,-5.7
2014-02-10,-6.2
2014-02-11,-5.9
2014-02-12,-2.7
2014-02-13,-2.2
2014-02-14,-3.0
2014-02-15,-1.7
2014-02-16,0.8
2014-02-17,0.9
2014-02-18,-1.3
2014-02-19,-0.4
2014-02-20,-1.7
2014-02-21,-0.8
2014-02-22,2.7
2014-02-23,1.7
2014-02-24,3.4
2014-02-25,2.6
2014-02-26,4.8
2014-02-27,4.5
2014-02-28,1.5
2014-03-01,5.1
2014-03-02,3.8
2014-03-03,1.2
2014-03-04,4.5
2014-03-05,2.5
2014-03-06,2.8
2014-03-07,2.6
2014-03-08,3.8
2014-03-09,3.4
2014-03-10,2.8
2014-03-11,6.9
2014-03-12,7.1
2014-03-13,6.6
2014-03-14,11.1
2014-03-15,11.3
2014-03-16,11.6
2014-03-17,12.9
2014-03-18,11.7
2014-03-19,8.8
2014-03-20,11.7
2014-03-21,14.7
2014-03-22,14.6
2014-03-23,12.6
2014-03-24,13.0
2014-03-25,14.9
2014-03-26,15.6
2014-03-27,13.5
2014-03-28,15.9
2014-03-29,16.5
2014-03-30,18.2
2014-03-31,17.1
2014-04-01,16.1
2014-04-02,16.3
2014-04-03,14.0
2014-04-04,14.0
2014-04-05,13.3
2014-04-06,15.7
2014-04-07,16.5
2014-04-08,17.5
2014-04-09,21.2
2014-04-10,15.7
2014-04-11,14.5
2014-04-12,14.8
2014-04-13,16.4
2014-04-14,18.5
2014-04-15,18.0
2014-04-16,16.7
2014-04-17,14.4
2014-04-18,15.9
2014-04-19,12.6
2014-04-20,14.8
2014-04-21,17.7
2014-04-22,19.2
2014-04-23,20.1
2014-04-24,19.8
2014-04-25,19.6
2014-04-26,15.9
2014-04-27,17.7
2014-04-28,18.7
2014-04-29,19.7
2014-04-30,21.1
2014-05-01,20.7
2014-05-02,17.0
2014-05-03,16.2
2014-05-04,14.1
2014-05-05,14.0
2014-05-06,15.7
2014-05-07,19.0
2014-05-08,17.4
2014-05-09,17.6
2014-05-10,17.2
2014-05-11,12.0
2014-05-12,21.0
2014-05-13,22.7
2014-05-14,19.5
2014-05-15,20.5
2014-05-16,23.3
2014-05-17,22.1
