date,humidity
2013-09-12,69.0
2013-09-13,84.9
2013-09-14,60.2
2013-09-15,40.7
2013-09-16,65.1
2013-09-17,81.7
2013-09-18,81.1
2013-09-19,78.5
2013-09-20,63.1
2013-09-21,58.9
2013-09-22,74.5
2013-09-23,63.9
2013-09-24,49.2
2013-09-25,34.6
2013-09-26,56.1
2013-09-27,66.2
2013-09-28,69.0
2013-09-29,75.9
2013-09-30,76.3
2013-10-01,76.4
2013-10-02,51.4
2013-10-03,65.5
2013-10-04,73.3
2013-10-05,74.6
2013-10-06,82.7
2013-10-07,59.3
2013-10-08,59.3
2013-10-09,74.6
2013-10-10,49.7
2013-10-11,49.7
2013-10-12,56.6
2013-10-13,65.8
2013-10-14,50.7
2013-10-15,37.4
2013-10-16,47.5
2013-10-17,61.5
2013-10-18,66.3
2013-10-19,40.7
2013-10-20,38.6
2013-10-21,57.2
2013-10-22,66.7
2013-10-23,37.3
2013-10-24,29.2
2013-10-25,38.1
2013-10-26,47.8
2013-10-27,66.4
2013-10-28,66.5
2013-10-29,48.3
2013-10-30,59.9
2013-10-31,65.1
2013-11-01,71.7
2013-11-02,77.2
2013-11-03,38.3
2013-11-04,44.6
2013-11-05,57.9
2013-11-06,44.2
2013-11-07,29.1
2013-11-08,54.2
2013-11-09,39.9
2013-11-10,10.3
2013-11-11,29.7
2013-11-12,41.1
2013-11-13,62.6
2013-11-14,31.9
2013-11-15,41.1
2013-11-16,26.4
2013-11-17,26.9
2013-11-18,19.3
2013-11-19,25.7
2013-11-20,38.4
2013-11-21,44.5
2013-11-22,45.3
2013-11-23,47.1
2013-11-24,33.6
2013-11-25,21.8
2013-11-26,26.3
2013-11-27,13.7
2013-11-28,12.0
2013-11-29,25.1
2013-11-30,26.6
2013-12-01,33.9
2013-12-02,39.2
2013-12-03,30.4
2013-12-04,38.7
2013-12-05,27.4
2013-12-06,47.9
2013-12-07,68.6
2013-12-08,49.4
2013-12-09,25.8
2013-12-10,33.2
2013-12-11,22.0
2013-12-12,23.3
2013-12-13,26.3
2013-12-14,25.1
2013-12-15,23.8
2013-12-16,41.4
2013-12-17,30.4
2013-12-18,31.9
2013-12-19,35.6
2013-12-20,33.7
2013-12-21,31.8
2013-12-22,48.4
2013-12-23,42.2
2013-12-24,58.7
2013-12-25,47.0
2013-12-26,18.7
2013-12-27,22.4
2013-12-28,19.9
2013-12-29,17.7
2013-12-30,13.4
2013-12-31,19.4
2014-01-01,18.9
2014-01-02,50.9
2014-01-03,32.4
2014-01-04,69.1
2014-01-05,51.8
2014-01-06,73.0
2014-01-07,46.9
2014-01-08,21.2
2014-01-09,19.6
2014-01-10,27.2
2014-01-11,30.8
2014-01-12,18.6
2014-01-13,36.3
2014-01-14,36.0
2014-01-15,38.9
2014-01-16,62.2
2014-01-17,42.7
2014-01-18,28.9
2014-01-19,51.2
2014-01-20,18.4
2014-01-21,21.2
2014-01-22,33.3
2014-01-23,45.3
2014-01-24,29.7
2014-01-25,23.4
2014-01-26,51.5
2014-01-27,44.3
2014-01-28,31.5
2014-01-29,63.5
2014-01-30,31.4
2014-01-31,61.7
2014-02-01,67.2
2014-02-02,38.1
2014-02-03,7.4
2014-02-04,9.8
2014-02-05,33.9
2014-02-06,46.9
2014-02-07,76.3
2014-02-08,55.8
2014-02-09,29.1
2014-02-10,35.2
2014-02-11,51.0
2014-02-12,41.4
2014-02-13,54.6
2014-02-14,66.0
2014-02-15,65.5
2014-02-16,52.6
2014-02-17,37.3
2014-02-18,45.8
2014-02-19,44.2
2014-02-20,74.0
2014-02-21,69.7
2014-02-22,60.2
2014-02-23,59.4
2014-02-24,56.2
2014-02-25,64.5
2014-02-26,66.9
2014-02-27,22.2
2014-02-28,53.3
2014-03-01,32.3
2014-03-02,46.9
2014-03-03,61.8
2014-03-04,24.4
2014-03-05,18.8
2014-03-06,11.2
2014-03-07,28.4
2014-03-08,46.9
2014-03-09,42.3
2014-03-10,51.1
2014-03-11,45.3
2014-03-12,16.0
2014-03-13,14.6
2014-03-14,9.5
2014-03-15,24.8
2014-03-16,25.0
2014-03-17,29.6
2014-03-18,22.6
2014-03-19,31.9
2014-03-20,14.2
2014-03-21,13.8
2014-03-22,19.0
2014-03-23,32.1
2014-03-24,46.0
2014-03-25,44.0
2014-03-26,56.9
2014-03-27,58.2
2014-03-28,54.9
2014-03-29,40.1
2014-03-30,28.0
2014-03-31,41.9
2014-04-01,49.7
2014-04-02,40.6
2014-04-03,15.8
2014-04-04,23.9
2014-04-05,22.2
2014-04-06,27.0
2014-04-07,33.8
2014-04-08,42.0
2014-04-09,32.9
2014-04-10,30.8
2014-04-11,30.4
2014-04-12,35.1
2014-04-13,45.6
2014-04-14,54.5
2014-04-15,40.7
2014-04-16,27.6
2014-04-17,61.7
2014-04-18,67.6
2014-04-19,54.8
2014-04-20,50.5
2014-04-21,36.3
2014-04-22,38.9
2014-04-23,57.2
2014-04-24,59.3
2014-04-25,53.0
2014-04-26,60.4
2014-04-27,52.6
2014-04-28,46.2
2014-04-29,42.9
2014-04-30,50.4
2014-05-01,55.5
2014-05-02,28.9
2014-05-03,39.3
2014-05-04,19.7
2014-05-05,27.4
2014-05-06,44.5
2014-05-07,40.2
2014-05-08,55.5
2014-05-09,45.7
2014-05-10,47.8
2014-05-11,85.5
2014-05-12,54.2
2014-05-13,41.4
2014-05-14,24.2
2014-05-15,38.5
2014-05-16,31.8
2014-05-17,37.1
2014-05-18,42.9
2014-05-19,64.4
2014-05-20,45.4
2014-05-21,53.0
2014-05-22,49.5
2014-05-23,41.3
2014-05-24,82.4
2014-05-25,49.1
2014-05-26,30.5
2014-05-27,26.3
2014-05-28,30.0
2014-05-29,33.6
2014-05-30,38.8
2014-05-31,50.2
2014-06-01,64.6
2014-06-02,54.5
2014-06-03,48.1
2014-06-04,51.8
2014-06-05,48.3
2014-06-06,75.2
2014-06-07,52.1
2014-06-08,64.2
2014-06-09,58.5
2014-06-10,71.7
2014-06-11,56.3
2014-06-12,47.1
2014-06-13,63.9
2014-06-14,64.6
2014-06-15,62.4
2014-06-16,72.8
2014-06-17,80.8
2014-06-18,67.3
2014-06-19,74.3
2014-06-20,73.1
2014-06-21,72.0
2014-06-22,72.7
2014-06-23,56.9
2014-06-24,57.2
2014-06-25,69.8
2014-06-26,69.7
2014-06-27,42.0
2014-06-28,39.8
2014-06-29,48.6
2014-06-30,48.4
2014-07-01,58.9
2014-07-02,86.2
2014-07-03,79.9
2014-07-04,76.2
2014-07-05,74.2
2014-07-06,76.9
2014-07-07,72.4
2014-07-08,58.5
2014-07-09,50.1
2014-07-10,45.7
2014-07-11,46.4
2014-07-12,35.0
2014-07-13,45.9
2014-07-14,50.1
2014-07-15,52.4
2014-07-16,75.0
2014-07-17,77.0
2014-07-18,68.7
2014-07-19,63.1
2014-07-20,62.2
2014-07-21,52.4
2014-07-22,48.0
2014-07-23,52.0
2014-07-24,70.1
2014-07-25,58.8
2014-07-26,53.5
2014-07-27,50.6
2014-07-28,57.4
2014-07-29,59.9
2014-07-30,82.7
2014-07-31,75.8
2014-08-01,74.0
2014-08-02,73.7
2014-08-03,73.8
2014-08-04,80.4
2014-08-05,68.3
2014-08-06,57.0
2014-08-07,57.8
2014-08-08,57.4
2014-08-09,62.9
2014-08-10,64.3
2014-08-11,47.9
2014-08-12,46.6
2014-08-13,86.3
2014-08-14,68.4
2014-08-15,67.1
2014-08-16,63.1
2014-08-17,61.8
2014-08-18,63.9
2014-08-19,62.4
2014-08-20,61.4
2014-08-21,65.8
2014-08-22,70.9
2014-08-23,70.0
2014-08-24,57.5
2014-08-25,47.9
2014-08-26,42.0
2014-08-27,50.6
2014-08-28,65.4
2014-08-29,78.8
2014-08-30,84.9
2014-08-31,86.5
2014-09-01,89.0
2014-09-02,91.3
2014-09-03,60.8
2014-09-04,62.4
2014-09-05,70.3
2014-09-06,75.5
2014-09-07,73.3
2014-09-08,43.2
2014-09-09,59.2
2014-09-10,61.8
2014-09-11,72.2
2014-09-12,78.2
2014-09-13,68.6
2014-09-14,60.9
2014-09-15,45.5
2014-09-16,62.8
2014-09-17,65.5
2014-09-18,60.9
2014-09-19,75.3
2014-09-20,76.3
2014-09-21,68.8
2014-09-22,81.6
2014-09-23,93.9
2014-09-24,77.7
2014-09-25,87.8
2014-09-26,85.2
